TaskType,Az1,El1,Az2,El2,Az3,El3,Az4,El4,Az5,El5,Az6,El6,Az7,El7,Az8,El8,Az9,El9
O,0,0
B,-10,10,0,0
G,-15,0,-5,10,5,0,15,10
O,-15,6
O,11,5
O,-29,11
O,16,16
O,29,-10
O,-33,-10
O,23,7
O,17,15
O,-25,-2
O,17,7
O,-24,-7
O,
O,24,14
O,-11,0
O,29,2
O,-4,-4
O,17,18
O,-11,-6
O,-24,18
O,-33,8
O,-31,-8
O,18,16
O,-4,17
O,17,11
O,-17,-4
O,23,-7
O,19,-9
O,-24,-3
O,6,15
O,-8,-3
O,-20,0
O,-18,-7
O,
O,-16,2
O,-24,-10
O,20,8
O,-15,-9
O,9,-8
O,6,15
O,-26,-3
O,-18,13
O,
O,-30,11
O,-10,0
O,6,9
O,0,4
O,5,-10
O,2,4
O,-6,-2
O,1,-9
O,-24,0
O,-24,9
O,11,11
O,-35,8
O,
O,22,0
O,8,2
O,16,6
O,-1,10
O,3,4
O,-29,6
O,6,1
O,10,-9
O,11,17
O,-15,-5
O,28,9
O,
O,
O,27,-1
O,34,10
O,
O,6,7
O,4,10
O,17,6
O,-34,-2
O,32,0
O,-24,5
O,-3,-9
O,23,12
O,-26,15
O,1,-2
O,-28,-5
O,7,1
O,-23,0
O,11,11
O,2,15
O,-17,16
O,12,-6
O,23,2
O,25,-8
O,-9,10
O,10,3
O,-8,4
O,8,4
O,-16,16
O,-8,17
O,-30,16
O,-21,-7
